MoviesName,Stars_1,Stars_2,Stars_3,Stars_4,Votes,Genre_1,Genre_2,Genre_3,Gross,Certification,Popularity
Mad Max: Fury Road,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,"1,029,852",Action,Adventure,Sci-Fi,154.06,15,135
Le Mans '66,Matt Damon,Christian Bale,Jon Bernthal,Caitríona Balfe,"418,484",Action,Biography,Drama,117.62,12A,209
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,"1,153,318",Action,Adventure,Fantasy,305.41,12A,321
Blade Runner,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,"787,715",Action,Drama,Sci-Fi,32.87,AA,331
The Terminator,Arnold Schwarzenegge,Linda Hamilton,Michael Biehn,Paul Winfield,"885,204",Action,Sci-Fi,nan,38.40,18,449
Logan,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,"787,213",Action,Drama,Sci-Fi,226.28,15,692
"Lock, Stock and Two Smoking Barrels",Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,"595,108",Action,Comedy,Crime,3.90,18,894
How to Train Your Dragon,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Craig Ferguson,"761,030",Animation,Action,Adventure,217.58,PG,"1,192"
Warrior,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,"481,730",Action,Drama,Sport,13.66,12A,"1,210"
Rush,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,"490,998",Action,Biography,Drama,26.95,15,"1,334"
The Iron Giant,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,"208,963",Animation,Action,Adventure,23.16,U,"1,839"
Neon Genesis Evangelion: The End of Evangelion,Megumi Og,Megumi Hayashibara,Yûko Miyamura,Kotono Mitsuishi,"58,525",Animation,Action,Drama,nan,15,"4,622"
Sholay,njeev Kum,Dharmendra,Amitabh Bachchan,Amjad Khan,"57,063",Action,Adventure,Comedy,nan,PG,nan
Bajrangi Bhaijaan,lman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,"91,904",Action,Adventure,Comedy,8.18,12A,nan
The General,Buster Keaton,Marion Mack,Glen Cavender,Jim Farley,"93,864",Action,Adventure,Comedy,1.03,U,nan
The Hidden Fortress,Toshirô Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara,"40,453",Action,Adventure,Drama,nan,A,nan
White Heat,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,"34,278",Action,Crime,Drama,nan,A,nan
A Wednesday,Anupam Khe,Naseeruddin Shah,Veerendra Saxena,Mahesh Kanual,"80,205",Action,Crime,Drama,nan,15,nan
Major,Adivi Sesh,Prakash Raj,Revathi,Saiee Manjrekar,"30,452",Action,Biography,Drama,nan,15,nan
Sarfarosh,Aamir Khan,Naseeruddin Shah,Sonali Bendre,Mukesh Rishi,"26,227",Action,Drama,Thriller,nan,18,nan
Hera Pheri,Akshay Kum,Suniel Shetty,Paresh Rawal,Tabu,"69,404",Action,Comedy,Crime,nan,15,nan
Kaththi,Joseph Vijay,Samantha Ruth Prabhu,Neil Nitin Mukesh,Tota Roy Chowdhury,"28,322",Action,Drama,nan,nan,12A,nan
Thuppakki,Joseph Vijay,Kajal Aggarwal,Vidyut Jammwal,Sathyan,"35,909",Action,Thriller,nan,nan,15,nan
John Wick: Chapter 4,Keanu Reeve,Laurence Fishburne,George Georgiou,Lance Reddick,"177,823",Action,Crime,Thriller,nan,15,5
Guardians of the Galaxy,Chris P,Vin Diesel,Bradley Cooper,Zoe Saldana,"1,217,116",Action,Adventure,Comedy,333.18,12A,44
Dune,Timothée Chalame,Rebecca Ferguson,Zendaya,Oscar Isaac,"677,751",Action,Adventure,Drama,108.33,12A,66
Blade Runner 2049,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,"603,524",Action,Drama,Mystery,92.05,15,173
Deadpool,Ryan Reynold,Morena Baccarin,T.J. Miller,Ed Skrein,"1,067,514",Action,Comedy,nan,363.07,15,326
Avengers Assemble,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,"1,415,723",Action,Sci-Fi,nan,623.28,12A,433
Zack Snyder's Justice League,Henry Cavill,Ben Affleck,Gal Gadot,Amy Adams,"412,561",Action,Adventure,Fantasy,nan,15,465
The Incredibles,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,"761,142",Animation,Action,Adventure,261.44,U,697
Casino Royale,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,"670,820",Action,Adventure,Thriller,167.45,15,716
The Revenant,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,"827,647",Action,Adventure,Drama,183.64,15,721
Akira,Mitsuo Iw,Nozomu Sasaki,Mami Koyama,Tesshô Genda,"193,573",Animation,Action,Drama,0.55,12,873
Kill Bill: Vol. 2,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,"773,849",Action,Crime,Thriller,66.21,18,"1,753"
Ip Man,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka-Tung Lam,"228,371",Action,Biography,Drama,nan,15,"2,109"
The Bourne Ultimatum,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,"644,032",Action,Mystery,Thriller,227.47,12A,"2,468"
Baahubali: The Beginning,Prabh,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,"129,942",Action,Drama,nan,6.74,15,"2,744"
Infernal Affairs,Andy Lau,Tony Leung Chiu-wai,Anthony Chau-Sang Wong,Eric Tsang,"127,623",Action,Crime,Drama,0.17,15,"4,437"
Wolfwalkers,Honor Kneafsey,Eva Whittaker,Sean Bean,Simon McBurney,"35,142",Animation,Action,Adventure,nan,PG,"4,643"
Elite Squad,Wagner Mou,André Ramiro,Caio Junqueira,Milhem Cortaz,"106,710",Action,Crime,Drama,0.01,18,nan
Haider,hahid Kapoo,Tabu,Shraddha Kapoor,Kay Kay Menon,"56,080",Action,Crime,Drama,0.90,15,nan
Sanjuro,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,"39,432",Action,Drama,Thriller,nan,A,nan
Elite Squad 2: The Enemy Within,Wagner Mou,Irandhir Santos,André Ramiro,Milhem Cortaz,"84,713",Action,Crime,Drama,0.10,18,nan
Brotherhood,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,"40,367",Action,Drama,War,1.11,R,nan
Andaz Apna Apna,Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,"54,199",Action,Comedy,Romance,nan,U,nan
Karthikeya 2,Nikhil Siddharth,Anupama Parameswaran,Srinivasa Reddy,Harsha Chemudu,"63,201",Action,Adventure,Fantasy,nan,nan,nan
Arjun Reddy,Vijay Deverakond,Shalini Pandey,Jia Sharma,Kanchana,"26,282",Action,Drama,Romance,nan,nan,nan
1: Nenokkadine,Mahesh Babu,Kriti Sanon,Nassar,Pradeep Singh Rawat,"45,890",Action,Thriller,nan,nan,15,nan
Nefes: Vatan Sagolsun,Mete Horozoglu,Ilker Kizmaz,Baris Bagci,Özgür Eren Koç,"34,384",Action,Drama,Thriller,nan,15,nan
Thor: Ragnarok,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,"775,783",Action,Adventure,Comedy,315.06,12A,167
Avatar,m Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,"1,341,931",Action,Adventure,Fantasy,760.51,12A,275
Iron Man,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,"1,082,141",Action,Adventure,Sci-Fi,318.41,12A,456
Star Trek,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,"610,293",Action,Adventure,Sci-Fi,257.73,12A,500
Edge of Tomorrow,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,"699,063",Action,Adventure,Sci-Fi,100.21,12A,685
Children of Men,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,"511,555",Action,Drama,Sci-Fi,35.55,15,"1,226"
X-Men: Days of Future Past,Patrick Stew,Ian McKellen,Hugh Jackman,James McAvoy,"724,918",Action,Adventure,Sci-Fi,233.92,12A,"1,308"
District 9,harlto Copley,David James,Jason Cope,Nathalie Boltt,"694,854",Action,Sci-Fi,Thriller,115.65,15,"1,387"
The Bourne Identity,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,"558,713",Action,Mystery,Thriller,121.66,12A,"1,433"
The Blues Brothers,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,"205,833",Action,Adventure,Comedy,57.23,AA,"1,464"
"Crouching Tiger, Hidden Dragon",Chow Yun-F,Michelle Yeoh,Ziyi Zhang,Chang Chen,"275,624",Action,Adventure,Drama,128.08,12,"1,927"
Ghost in the Shell,Atsuko Tanak,Iemasa Kayumi,Akio Ôtsuka,Kôichi Yamadera,"148,421",Animation,Action,Crime,0.52,15,"2,503"
A Fistful of Dollars,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy,"223,383",Action,Drama,Western,14.50,X,"2,804"
The Raid 2,Iko Uwai,Yayan Ruhian,Arifin Putra,Oka Antara,"127,078",Action,Crime,Thriller,2.63,18,"3,255"
The Wild Bunch,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,"87,399",Action,Adventure,Drama,12.06,18,"3,342"
Hero,Jet Li,Tony Leung Chiu-wai,Maggie Cheung,Ziyi Zhang,"184,413",Action,Adventure,Drama,53.71,12A,"3,533"
Letters from Iwo Jima,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryo Kase,"166,250",Action,Adventure,Drama,13.76,15,"3,949"
A Taxi Driver,ong Kang-ho,Thomas Kretschmann,Hae-Jin Yoo,Ryu Jun-Yeol,"27,381",Action,Drama,History,1.53,15,nan
The Adventures of Robin Hood,Errol Flynn,Olivia de Havilland,Basil Rathbone,Claude Rains,"52,802",Action,Adventure,Romance,3.98,U,nan
Baby,Akshay Kum,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,"58,806",Action,Crime,Thriller,nan,15,nan
Airlift,Akshay Kum,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,"57,845",Action,Drama,History,nan,12A,nan
Vishwaroopam,Pooja Kum,Miles Anderson,Kamal Haasan,Rahul Bose,"40,547",Action,Thriller,nan,nan,12A,nan
Everything Everywhere All at Once,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan,"448,150",Action,Adventure,Comedy,72.86,15,56
The Batman,Robert Pattinson,Zoë Kravitz,Jeffrey Wright,Colin Farrell,"699,825",Action,Crime,Drama,369.35,15,104
RRR,N.T. Rama Rao Jr.,Ram Charan,Ajay Devgn,Alia Bhatt,"150,199",Action,Drama,nan,14.50,15,144
The Gentlemen,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,"360,399",Action,Comedy,Crime,36.47,18,221
All Quiet on the Western Front,Felix Kammere,Albrecht Schuch,Aaron Hilmer,Moritz Klaus,"205,281",Action,Drama,War,nan,15,224
Drive,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,"664,299",Action,Drama,nan,35.06,18,369
Rogue One,Felicity Jone,Diego Luna,Alan Tudyk,Donnie Yen,"657,650",Action,Adventure,Sci-Fi,532.18,12A,390
Star Wars: Episode VII - The Force Awakens,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,"947,209",Action,Adventure,Sci-Fi,936.66,12A,455
Apocalypto,Gerardo Taracen,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood,"320,106",Action,Adventure,Drama,50.87,18,524
Dunkirk,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,"682,150",Action,Drama,History,188.37,12A,595
Ghostbusters,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,"425,653",Action,Comedy,Fantasy,238.63,PG,712
Predator,Arnold Schwarzenegge,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,"434,375",Action,Adventure,Horror,59.74,18,935
Hot Fuzz,imon Pegg,Nick Frost,Martin Freeman,Bill Nighy,"517,068",Action,Comedy,Mystery,23.64,15,964
Captain America: Civil War,Chris Evan,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,"811,441",Action,Sci-Fi,nan,408.08,12A,991
Taken,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,"614,638",Action,Crime,Thriller,145.00,18,"1,018"
Skyfall,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,"709,652",Action,Adventure,Thriller,304.36,12A,"1,073"
Captain America: The Winter Soldier,Chris Evan,Samuel L. Jackson,Scarlett Johansson,Robert Redford,"866,461",Action,Adventure,Sci-Fi,259.77,12A,"1,160"
The Fugitive,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,"304,568",Action,Crime,Drama,183.88,12,"1,284"
Big Hero 6,Ryan Potte,Scott Adsit,Jamie Chung,T.J. Miller,"476,426",Animation,Action,Adventure,222.53,PG,"1,351"
Captain Phillips,Tom Hank,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,"473,214",Action,Biography,Crime,107.10,12A,"1,454"
I Saw the Devil,Lee Byung-hun,Choi Min-sik,Jeon Gook-hwan,Ho-jin Chun,"137,088",Action,Crime,Drama,0.13,18,"1,462"
The Last Samurai,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton,"452,033",Action,Drama,nan,111.11,15,"1,526"
Serenity,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk,"300,284",Action,Adventure,Sci-Fi,25.51,15,"1,686"
Thirteen Lives,Viggo Mortensen,Colin Farrell,Joel Edgerton,Tom Bateman,"60,640",Action,Adventure,Biography,nan,12A,"1,869"
The Fighter,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,"376,930",Action,Biography,Drama,93.62,15,"1,870"
How to Train Your Dragon 2,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,"347,484",Animation,Action,Adventure,177.00,PG,"2,936"
The Chaser,Kim Yoon-seok,Ha Jung-woo,Yeong-hie Seo,Kim Yoo-jeong,"69,183",Action,Crime,Drama,nan,18,nan
"Aguirre, the Wrath of God",Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,"59,107",Action,Adventure,Biography,nan,A,nan
Ninja Scroll,Kôichi Yamade,Emi Shinohara,Takeshi Aono,Osamu Saka,"38,856",Animation,Action,Adventure,nan,18,nan
Batman: Mask of the Phantasm,Kevin Conroy,Dana Delany,Hart Bochner,Stacy Keach,"53,489",Animation,Action,Adventure,5.62,PG,nan
The Killer,Chow Yun-F,Danny Lee,Sally Yeh,Kong Chu,"49,583",Action,Crime,Drama,nan,18,nan
Cowboy Bebop: The Movie,Beau Billingsle,Melissa Fahn,Nicholas Guest,Kôichi Yamadera,"50,654",Animation,Action,Crime,1.00,12A,nan
Knockin' on Heaven's Door,Til Schweige,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu,"32,078",Action,Crime,Comedy,0.00,nan,nan
Minnal Murali,Tovino Thom,Guru Somasundaram,Aju Varghese,Baiju,"31,064",Action,Comedy,Drama,nan,12,nan
Avatar: The Way of Water,m Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,"384,846",Action,Adventure,Fantasy,659.68,12A,48
Kingsman: The Secret Service,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,"686,315",Action,Adventure,Comedy,128.26,15,189
Star Trek Into Darkness,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,"489,293",Action,Adventure,Sci-Fi,228.78,12A,284
Mission: Impossible - Fallout,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,"344,841",Action,Adventure,Thriller,220.16,12A,302
Black Hawk Down,Josh Hartne,Ewan McGregor,Tom Sizemore,Eric Bana,"407,147",Action,Drama,History,108.64,15,371
The Count of Monte Cristo,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,"142,602",Action,Adventure,Drama,54.23,PG-13,824
3:10 to Yuma,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman,"320,222",Action,Crime,Drama,53.61,15,837
The Last of the Mohicans,Daniel Day-Lewi,Madeleine Stowe,Russell Means,Eric Schweig,"177,524",Action,Adventure,Drama,75.51,12,932
The Lego Movie,Chris P,Will Ferrell,Elizabeth Banks,Will Arnett,"369,039",Animation,Action,Adventure,257.76,U,"1,095"
X: First Class,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,"704,696",Action,Sci-Fi,nan,146.41,12A,"1,181"
Training Day,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,"450,131",Action,Crime,Drama,76.63,18,"1,191"
The Dirty Dozen,Lee Marvin,Ernest Borgnine,Charles Bronson,John Cassavetes,"76,085",Action,Adventure,War,45.30,X,"1,274"
Man on Fire,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,"371,975",Action,Crime,Drama,77.91,18,"1,481"
First Blood,ylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney,"262,244",Action,Adventure,Thriller,47.21,15,"1,693"
The Magnificent Seven,Yul Brynne,Steve McQueen,Charles Bronson,Eli Wallach,"98,239",Action,Adventure,Drama,4.91,U,"1,747"
Kung Fu Hustle,ephen Chow,Wah Yuen,Qiu Yuen,Siu-Lung Leung,"144,456",Action,Comedy,Fantasy,17.11,15,"1,880"
The Boondock Saints,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco,"243,402",Action,Thriller,nan,0.03,18,"1,986"
Goldfinger,ean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton,"195,641",Action,Adventure,Thriller,51.08,PG,"2,065"
The Longest Day,John Wayne,Robert Ryan,Richard Burton,Henry Fonda,"57,435",Action,Drama,History,39.10,A,"2,201"
Dirty Harry,Clint Eastwood,Andrew Robinson,Harry Guardino,Reni Santoni,"161,710",Action,Crime,Thriller,35.90,X,"2,427"
